year;dr_scen;cluster;parameter;value;unit
2020;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2021;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2022;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2023;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2024;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2025;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2026;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2027;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2028;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2029;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2030;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2031;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2032;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2033;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2034;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2035;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2036;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2037;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2038;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2039;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2040;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2041;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2042;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2043;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2044;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2045;5;ind_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2020;50;ind_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2021;50;ind_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2022;50;ind_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2023;50;ind_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2024;50;ind_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2025;50;ind_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2026;50;ind_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2027;50;ind_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2028;50;ind_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2029;50;ind_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2030;50;ind_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2031;50;ind_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2032;50;ind_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2033;50;ind_cluster_shift_only;overall_tariff;183.04;EUR/MWh
